nomem_encr;nohouse_encr;wave;geslacht;gender;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
805143;533792;202207;1;999;1;1979;42;4;42;1;0;0;5;1;1;4;1;3500;3500;2700;2700;2700;7;6;3500;2700;5;5;5;1;9;0;0
805147;509681;202207;1;999;1;1996;26;3;26;2;0;1;5;2;2;4;7;1200;1200;1100;1100;1100;3;3;1410;1310;6;6;6;0;99;102;0
805149;515791;202207;2;999;5;2013;9;1;41;6;4;1;5;3;1;5;7;0;0;0;0;0;0;0;7067;4400;1;8;1;1;10; ;0
805161;564165;202207;1;1;2;1969;53;5;53;3;1;1;1;3;1;3;1;10500;10500;6200;6200;6200;12;11;18125;10500;6;6;6;1;10;0;0
805181;532852;202207;2;999;1;1968;54;5;54;2;1;0;3;4;1;5;1;-13;1996,2164;1400;1400;1400;13;3;1996,2164;1400;4;4;4;1;2;0;0
805228;570211;202207;1;999;5;2020;1;1;41;3;1;1;5;3;1;5;14;0;0;0;0;0;0;0;5732;3784;9;9; ;1;2; ;0
805252;591931;202207;2;999;2;1968;54;5;54;4;2;1;1;3;1;5;8;-13;767,7450796;620;620;620;13;2;5727,01081;4278;4;4;4;1;2;0;0
805253;522911;202207;1;999;1;1971;51;5;51;4;3;0;3;4;1;3;3;-13; ;-13;-13; ;13;13; ; ;6;6;6;0;9; ;0
805258;571832;202207;2;999;2;1942;80;7;84;2;0;1;1;2;1;2;8;-13;1099,137498;960;960;960;13;2;2596,530683;2210;2;2;2;1;3;0;0
805272;577760;202207;1;1;1;1960;62;6;62;2;0;1;1;2;2;3;1;-13;6011,153664;3617;3617;3617;13;8;7826,411608;4953;4;4;4;1;10;0;0
805273;514520;202207;2;999;2;1965;56;6;64;5;3;1;1;3;1;5;3;-13;606,1159613;500;500;500;13;1;1569,469084;1250;3;3;3;1;1;0;0
805288;529931;202207;1;999;1;1950;72;7;72;2;0;1;3;2;1;5;9;1800;1800;1400;1400;1400;4;3;3150;2457;2;2;2;1;2;0;1
805295;588615;202207;2;2;2;1988;34;3;29;3;1;1;1;3;1;4;1;2498;2498;2042;2042;2042;5;5;5712;4792;6;6;6;1;10;0;0
805300;541534;202207;2;999;1;1952;69;7;69;1;0;0;3;1;2;1;9;-13;2115,161249;1700;1700;1700;13;4;2115,161249;1700;2;2;2;1;8;0;0
805303;511236;202207;1;999;1;1946;76;7;76;2;0;1;1;2;1;4;9;2200;2200;1945;1945;1945;5;4;3015;2760;5;5;5;1;2;0;0
805319;502359;202207;1;999;1;1964;58;6;58;3;1;1;1;3;2;2;1;4100;4100;2050;2050;2050;9;5;7491,22695;4300;5;4;4;1;2;0;0
805320;586414;202207;1;999;5;2013;9;1;40;4;2;1;5;3;1;4;7;-13;0;0;0;0;13;0;16571,11244;9350;1;8;1;1;9; ;0
805339;592485;202207;1;999;5;2001;21;2;51;4;3;0;5;4;2;4;7;-13;133,1187063;120;120;120;13;1;2785,57777;2220;3;1;1;1;8;101;0
805352;539483;202207;2;999;1;1977;44;4;44;3;2;0;3;4;2;1;8;-13; ;-14;-13; ;13;14; ; ;2;1;1;0;8; ;0
805364;505212;202207;2;999;1;1976;45;5;45;2;0;1;1;2;2;5;8;-13;892,2893334;700;700;700;13;2;1770,366991;1400;4;4;4;1;2;0;0
805365;582536;202207;1;1;1;1963;59;6;59;2;0;1;1;2;1;4;3;5000;5000;3100;3100;3100;10;7;7883,605072;5100;5;5;5;1;10;0;0
805392;567858;202207;2;999;5;1995;26;3;53;5;3;1;5;3;2;2;8;0;0;0;0;0;0;0;2100;1800;4;4;4;1;7;202;0
805433;577507;202207;2;999;5;1999;22;2;58;4;2;1;5;3;2;3;1;-13;2536,363206;1750;-13;1750;13;4;11352,60213;7500;5;5;5;0;10; ;0
805435;587631;202207;1;999;5;1998;24;2;51;3;1;0;5;4;2;1;7;-13;0;0;0;0;13;0; ; ;5;8;3;1;7;202;0
805444;549490;202207;2;999;1;1966;55;6;55;1;0;0;5;1;1;4;1;-13;3904,735024;2505;2505;2505;13;6;3904,735024;2505;4;4;4;1;8;0;0
805456;537741;202207;1;999;5;2009;12;1;53;3;2;0;5;4;1;4;7;0;0;0;0;0;0;0;5170,315594;3340;3;1;1;1;10; ;0
805468;598822;202207;1;999;1;1970;52;5;52;4;2;1;1;3;1;5;1;-13;4078,094024;2600;2600;2600;13;6;4916,081507;3180;5;5;5;0;2;0;0
805483;599629;202207;2;999;3;1957;65;7;71;2;0;1;3;2;2;4;10;-13;961,1991606;850;850;850;13;2;3217,67633;2650;2;2;2;0;10; ;0
